alias	population	latitude	longitude	ploidy_man_curated	Species_fin	ENA accession	Project
TE_4.6-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742480	PRJEB67879
TE_4.7-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742479	PRJEB67879
TE_4.8-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742478	PRJEB67879
TE_4.8-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742477	PRJEB67879
TE_4.9-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742476	PRJEB67879
TE_4.9-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742475	PRJEB67879
TE_5.1-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742474	PRJEB67879
TE_5.1-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742473	PRJEB67879
TE_5.10-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742472	PRJEB67879
TE_5.10-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742471	PRJEB67879
TE_5.2-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742470	PRJEB67879
TE_5.2-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742469	PRJEB67879
TE_5.3-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742468	PRJEB67879
TE_5.3-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742467	PRJEB67879
TE_5.4-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742466	PRJEB67879
TE_5.4-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742465	PRJEB67879
TE_5.5-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742464	PRJEB67879
TE_5.5-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742463	PRJEB67879
TE_5.6-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742462	PRJEB67879
TE_5.6-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742461	PRJEB67879
TE_5.7-1	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742460	PRJEB67879
TE_5.7-2	West_Siberia_2n	68.79682	77.68553	2	A. lyrata	ERR12742459	PRJEB67879
